અકળ	ઓળખી ન શકાય એવા
અકિંચન	કિંમત વગરનું, નાનું એવું
અકોણા નરને	આડોડાઈવાળા માણસને
અક્ષયપાત્ર	સૂર્યદેવે યુધિષ્ઠિરને આપેલ પાત્ર, જેને કારણે પાંડવો વનવાસમાં ફરતા અનેક ઋષિ વગેરેને ભોજન આપી શક્રતા
અક્ષરધામનું ભાતું	અક્ષરધામની કમાણી
અક્ષરાત્મક	અક્ષરની મુખ્યતાવાળું, અક્ષરનો મુક્ત, અક્ષરબ્રહ્મના સાધમ્યૅપણાને પામેલ
અખતર ડાયો	ભગવાન અને સાધુની ક્રિયામાં સંશય, ડહાપણ કરનાર
અગતો	રજાનો દિવસ, કામથી વિરામ પામવાનો દિવસ
અગમ	ન ઓળખાય એવું
અગાધ	જેનો પાર ન લઇ શકાય એવા
અગાર	સાગર
અગોચર	ઇન્દ્રિયોથી અનુભવી ન શકાય તેવું
 અઘ 	પાપ
અઘરણી	પહેલી વાર ગર્ભ રહેવો તે
અજોગ ક્રિયા	અયોગ્ય
અટાણે	આ સમયે
અડખા પડખાના	આજુબાજુના
અડવાણા	ઉઘાડા
અડાયા છાણા	ભેસ કે ગાય જે પોદળો કરે તે સુકાય જાય તેને અડાયા છાણા કહેવાય
અડીખમ	બળવાન
અણોહરા	અધિરા 
અણોહરો	મારામાં કાઈ નથી એવા ભાવથી રહે, આધિન
અતર્ક	ન સમજી શકાય એવું
અથાર્થી	સકામ, પદાર્થની ઈચ્છાવાળો
અથાહ	અથાગ, અનંત
અદલ	નિયમ પ્રમાણે
અદ્વૈત	સર્વત્ર સમગ્ર બ્રહ્મ જ છે એમ એકત્વ ભાવ
અધમઉદ્ઘારણ	ખુબ જ પાપી વ્યક્તિનો મોક્ષ કરનાર ભગવાન માટે આ ઉપમા વપરાય છે
અધર્મ સર્ગ	કામ ક્રોધાદિક માયાનું ટોળું
અધવારું	અડધાભાગની કામગીરી, બે સ્થળે રહેવાનું રાખવું તે
અધિદૈવ	દેવસંબંધી દુઃખ
અધિભૂત	બીજાથી થતું દુઃખ
અધીરા	કાર્ય કરવા માટે ઉતાવળા, 
અધુરીયો	અપૂર્ણ
અધોગતિ	પડતી
અધ્યાત્મ	મનની પીડા
અનન્ય	એના જેવો બીજો નહિ તે
